n,(3/2)^n,n^3,(lg n)^2,lg(n!),2^(2n),log(log n),lg n,n*2^n,ln n,e^n,n!
1,1.5000000000,1,0.0000000000,0.0000000000,4.0000000000,0.0000000000,0.0000000000,2.0000000000,0.0000000000,2.7182818285,1
2,2.2500000000,8,1.0000000000,1.0000000000,16.0000000000,-0.3665129206,1.0000000000,8.0000000000,0.6931471806,7.3890560989,2
3,3.3750000000,27,2.5121061287,2.5849625007,64.0000000000,0.0940478276,1.5849625007,24.0000000000,1.0986122887,20.0855369232,6
4,5.0625000000,64,4.0000000000,4.5849625007,256.0000000000,0.3266342600,2.0000000000,64.0000000000,1.3862943611,54.5981500331,24
5,7.5937500000,125,5.3913500778,6.9068905956,1024.0000000000,0.4758849953,2.3219280949,160.0000000000,1.6094379124,148.4131591026,120
6,11.3906250000,216,6.6820311301,9.4918530963,4096.0000000000,0.5831980808,2.5849625007,384.0000000000,1.7917594692,403.4287934927,720
7,17.0859375000,343,7.8812416584,12.2992080184,16384.0000000000,0.6657298106,2.8073549221,896.0000000000,1.9459101491,1096.6331584285,5040
8,25.6289062500,512,9.0000000000,15.2992080184,65536.0000000000,0.7320993681,3.0000000000,2048.0000000000,2.0794415417,2980.9579870417,40320
9,38.4433593750,729,10.0484245148,18.4691330198,262144.0000000000,0.7871950082,3.1699250014,4608.0000000000,2.1972245773,8103.0839275754,362880
10,57.6650390625,1000,11.0352062676,21.7910611147,1048576.0000000000,0.8340324452,3.3219280949,10240.0000000000,2.3025850930,22026.4657948067,3628800
11,86.4975585938,1331,11.9676671240,25.2504927334,4194304.0000000000,0.8745913829,3.4594316186,22528.0000000000,2.3978952728,59874.1417151978,39916800
12,129.7463378906,1728,12.8519561316,28.8354552341,16777216.0000000000,0.9102350934,3.5849625007,49152.0000000000,2.4849066498,162754.7914190039,479001600
13,194.6195068359,2197,13.6932541076,32.5358949522,67108864.0000000000,0.9419387347,3.7004397181,106496.0000000000,2.5649493575,442413.3920089205,6227020800
14,291.9292602539,2744,14.4959515025,36.3432498743,268435456.0000000000,0.9704217813,3.8073549221,229376.0000000000,2.6390573296,1202604.2841647768,87178291200
15,437.8938903809,3375,15.2637941261,40.2501404699,1073741824.0000000000,0.9962288930,3.9068905956,491520.0000000000,2.7080502011,3269017.3724721107,1307674368000
16,656.8408355713,4096,16.0000000000,44.2501404699,4294967296.0000000000,1.0197814405,4.0000000000,1048576.0000000000,2.7725887222,8886110.5205078721,20922789888000
17,985.2612533569,4913,16.7073524786,48.3376033111,17179869184.0000000000,1.0414115248,4.0874628413,2228224.0000000000,2.8332133441,24154952.7535752989,355687428096000
